ItemDescr,Content,Weight,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,PeriodKey,QuantityCE,SalesGoodsEUR,RetailItemPrice,PriceAdjusted
AH Kokoswater 1000 milliliter,1000.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.011618546004169157,0.017488814493509863,1.865,1.865
AH Krokante kipfilet schnitzel 2st 250 gram,250.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.2581802563088821,0.19554963965914063,3.1191666666666666,12.476666666666667
AH Lychees los 1 kilogram,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.012859804096478694,0.010011694835022712,7.33625,7.33625
AH Mandarijnen groot 1.5 kilogram,1.5,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.14415702681072973,0.18935490671378005,3.5895833333333336,2.3930555555555557
AH Mandarijnen los 1 kilogram,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.05659005836212607,0.024802475739180502,2.3016666666666667,2.3016666666666667
AH Mango Mania 250ml 250 milliliter,250.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,3.354346157671749e-05,2.871698941236894e-05,2.32,9.28
AH Minneola los 1 stuk,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201849.625,1.368308796142639e-06,3.0054502674424787e-07,1.89,1.89
AH Morning Sunrise 500ml 50 milliliter,500.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,2.1188730767732118e-05,2.3625854029066896e-05,3.03,6.06
AH Multifruit 330ml 330 milliliter,330.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,1.3513644028587827e-05,1.2609563766173021e-05,2.525,7.651515151515152
AH Nederlandse aardbei 250 gram 250 gram,250.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.14889874101793013,0.13908463105303517,2.63375,10.535
AH Ongebrande hazelnoten 190 gram,190.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.0008207080405479179,0.0013097354097708297,4.39,23.105263157894736
AH Pluot 500 gram,500.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201845.3076923077,0.030948559645934903,0.023559710859100195,2.8423076923076924,5.684615384615385
AH Rivierkreeftjes 100 gram,100.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.03315703812860774,0.03484290475157557,3.3266666666666667,33.266666666666666
AH Rode bessen 150 gram,150.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.023225404012276,0.020834113095170876,2.8249999999999997,18.833333333333332
AH Sandwich zalmplakken 100 gram,100.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,201856.5,0.06366480907356237,0.0829867716196997,4.56125,45.612500000000004
AH Scharrel gerookte kipfilet 1 kilogram,1.0,0.15,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,201856.5,0.07287178302050198,0.053281221115010435,18.036666666666665,18.036666666666665
AH Seizoenssap 500 milliliter,500.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.019793848084717063,0.013115135297323834,2.22,4.44
AH Sinas light 6pack 6x1.5 liter,9.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.0013996827298972687,0.003817283759552891,3.7495833333333333,0.41662037037037036
AH Slagroom 250 gram,250.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.07741997803729443,0.06198272753333383,0.9612,3.8448
AH Smoothie appel banaan aardbei 500 milliliter,500.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.05675156624885199,0.042445551285137766,2.4220833333333336,4.844166666666667
AH Smoothie mango passion 250 milliliter,250.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.0382794585087792,0.03092931077349372,1.0304166666666668,4.121666666666667
AH Surimi flakes 200 gram,200.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,201856.5,0.014973229361523522,0.00949348459977412,1.99,9.95
AH Vers gekookt nl mosselvlees 0.15 kilogram,0.15,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,201856.5,0.015044488202087892,0.007951333510271977,1.6500000000000001,11.0
AH Verse sap aardbei sinaasappel 500 milliliter,500.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.05287662909097073,0.03613566531562364,2.22,4.44
AH Verse sap sinaasappel 500 milliliter,500.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.11140895388670098,0.0728837062366362,2.023333333333333,4.046666666666666
AH Very Berry 500ml 500 milliliter,500.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201853.90476190476,2.6653214520973007e-05,2.9620363577678775e-05,3.028095238095238,6.056190476190476
AH Volle yoghurt 500 milliliter,500.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.04274498763012155,0.025624922958132818,0.7333333333333334,1.4666666666666668
AH Wheat grass booster 250ml 250 milliliter,250.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,2.9224999310381355e-05,2.4928872488765337e-05,2.32,9.28
AH Zalm staartstuk 1 kilogram,1.0,0.225,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,201856.5,0.029462887376687123,0.04564515154945147,23.837500000000002,23.837500000000002
AH Zalmfilet. 1 kilogram,1.0,0.17,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,201856.5,0.18930359172339736,0.24489687937693352,27.780416666666667,27.780416666666667
AH Zelfgeperst sinaasappelsap 1000 milliliter,1000.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.1387336519738217,0.1644246542833468,3.2391666666666663,3.2391666666666663
AH kippenbout ca 1500gr 1 kilogram,1.0,1.55,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.026700796523246723,0.03708219211550291,3.1679166666666667,3.1679166666666667
AH sap avocado komkommer 250 milliliter,250.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.025296849993207113,0.015247375308024962,1.7683333333333333,7.073333333333333
Ah basic orange 4fl 4x2 liter,8.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.0009561650012579947,0.0025559535720141914,3.6841666666666666,0.4605208333333333
Ah blini's 135 gram,135.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.008430565736248256,0.004064162417319034,1.5841666666666667,11.734567901234568
Ah ontbijt smoothie haver yoghurt aardbe 250 milliliter,250.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.007623884609075031,0.004536662891657441,1.7683333333333333,7.073333333333333
