,Brand,ItemDescr,Content,UOM,Weight,PackagingType,Category,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,PeriodKey,QuantityCE,SalesGoodsEUR,RetailItemPrice,PriceAdjusted
26,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201803.0,1.36464744333301e-06,1.65353327369311e-06,2.99,1.9933333333333334
27,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201804.0,1.26907337972642e-06,1.36583823957583e-06,2.99,1.9933333333333334
28,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201805.0,2.0947508162982e-06,2.2438925104348e-06,2.99,1.9933333333333334
29,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201806.0,5.1350993282263e-07,5.79496233176499e-07,2.99,1.9933333333333334
30,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201807.0,7.01066111235355e-07,8.05042709775534e-07,2.99,1.9933333333333334
31,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201808.0,8.38029791959104e-07,9.26218501939496e-07,2.99,1.9933333333333334
32,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201809.0,1.27405738864101e-06,1.44583746117181e-06,2.99,1.9933333333333334
33,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201811.0,5.95985047397366e-06,4.18809632814165e-06,1.99,1.3266666666666667
34,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201812.0,2.3661237332858e-06,1.89288406241122e-06,1.99,1.3266666666666667
35,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201901.0,6.11968419369718e-06,4.43969391984481e-06,2.05,1.3666666666666665
36,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201902.0,5.94211979181453e-06,4.45206602073554e-06,2.05,1.3666666666666665
37,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201903.0,2.10199731785142e-06,1.61403241159875e-06,2.05,1.3666666666666665
38,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201904.0,1.23295339189587e-06,1.02507353444308e-06,2.05,1.3666666666666665
39,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201907.0,1.54209257335927e-06,1.2289823946877e-06,2.05,1.3666666666666665
40,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201908.0,6.20342006955274e-07,4.20928496360485e-07,2.05,1.3666666666666665
41,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201909.0,4.37410057556914e-06,3.08037390068876e-06,2.05,1.3666666666666665
42,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201910.0,4.38168572213101e-06,2.89000932105198e-06,2.05,1.3666666666666665
43,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201911.0,1.15149997265187e-06,8.55253125483585e-07,2.05,1.3666666666666665
44,AH,AH Goudreinette zak 1.5 kilogram,1.5,KG,,tas,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,201912.0,4.00699736225087e-05,3.03178139312971e-05,2.05,1.3666666666666665
45,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201801.0,0.0545312560779682,0.0364896765056922,6.99,6.99
46,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201802.0,0.0149106321019901,0.0112391058147844,6.99,6.99
47,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201803.0,7.73300217888708e-05,8.24480814935532e-05,6.99,6.99
48,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201804.0,6.40882056761845e-05,7.55733371366212e-05,6.99,6.99
49,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201805.0,3.98002655096659e-05,4.08197067568856e-05,6.99,6.99
50,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201806.0,5.44320528791988e-05,6.72583870225296e-05,6.99,6.99
51,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201807.0,7.22098094572416e-05,0.000100880736876026,6.99,6.99
52,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201808.0,9.63734260752969e-05,0.00012376013818687,6.99,6.99
53,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201809.0,8.09026441787043e-05,0.00011056304560808,6.99,6.99
54,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201810.0,6.56452748166491e-05,8.34653708011148e-05,6.99,6.99
55,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201811.0,0.00552080815572427,0.00526285870030746,6.99,6.99
56,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201812.0,0.0853429282279744,0.0688942830885772,9.99,9.99
57,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201901.0,0.0407892250720401,0.0273843079969822,7.2,7.2
58,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201902.0,0.0171674443140846,0.0119270223981187,7.2,7.2
59,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201903.0,6.83149128301712e-05,8.42131271714697e-05,7.2,7.2
60,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201904.0,2.87689124775705e-05,4.53165851286067e-05,7.2,7.2
61,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201905.0,4.12591240113478e-05,4.51263178022896e-05,7.2,7.2
62,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201906.0,6.45521285790872e-05,8.32661839372299e-05,7.2,7.2
63,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201907.0,7.63335823812839e-05,9.8786207086886e-05,7.2,7.2
64,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201908.0,3.66001784103612e-05,3.94358676514441e-05,7.2,7.2
65,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201909.0,5.24892069068297e-05,5.40149466926184e-05,7.2,7.2
66,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201910.0,5.18499477118837e-05,6.03777001456029e-05,7.2,7.2
67,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201911.0,3.79994990975118e-05,4.61711535690915e-05,7.2,7.2
68,AH,AH Lychees los 1 kilogram,1.0,KG,,losse verkoop,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,201912.0,0.0893640551729191,0.077841944643016,9.99,9.99
69,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201801.0,0.070247622826699,0.0576315148321327,0.99,3.96
70,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201802.0,0.0805522940621359,0.063894651338369,0.99,3.96
71,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201803.0,0.0956777848449911,0.075292829733058,0.95,3.8
72,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201804.0,0.0763957976961852,0.059676637169266,0.95,3.8
73,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201805.0,0.0883474696189284,0.0707231778088951,0.95,3.8
74,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201806.0,0.0854753953955474,0.0706060667396768,0.95,3.8
75,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201807.0,0.0673811656131985,0.053886598908853,0.95,3.8
76,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201808.0,0.0610636131905441,0.0521810582933809,0.95,3.8
77,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201809.0,0.0676369099428871,0.0579086506732712,0.95,3.8
78,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201810.0,0.0671628672414115,0.053789476021818,0.95,3.8
79,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201811.0,0.0714124396094879,0.0588744212369298,0.95,3.8
80,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201812.0,0.112732432947882,0.0888843551673281,0.95,3.8
81,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201901.0,0.0689391282881356,0.0557500146750122,0.98,3.92
82,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201902.0,0.0685286177605808,0.0527177684873092,0.98,3.92
83,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201903.0,0.0640422386941447,0.054362277851898,0.98,3.92
84,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201904.0,0.0691270431352886,0.0548538000171807,0.98,3.92
85,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201905.0,0.069682603337696,0.054925516212295,0.98,3.92
86,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201906.0,0.072472386260986,0.0575043981014097,0.98,3.92
87,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201907.0,0.0682014506946893,0.0536574369240303,0.98,3.92
