,0
Brand,0
ItemDescr,0
Content,0
UOM,0
Weight,2568
PackagingType,0
Category,0
Biological,0
PrivateLabel,0
LowFat,0
LowSalt,0
LowSugar,0
PlantBased,0
Vegan,0
Vegetarian,0
LocalProduct,0
HighFiber,0
WholeGrain,0
Glutenfree,0
Sustainable,0
Halal,0
PeriodKey,2
QuantityCE,2
SalesGoodsEUR,2
RetailItemPrice,0
