;Brand;ItemDescr;Content;UOM;Weight;PackagingType;Category;Biological;PrivateLabel;LowFat;LowSalt;LowSugar;PlantBased;Vegan;Vegetarian;LocalProduct;HighFiber;WholeGrain;Glutenfree;Sustainable;Halal;PeriodKey;QuantityCE;SalesGoodsEUR;RetailItemPrice
1252;AH;AH Slagroom 250 gram;250.0;GR;;spuitbus;Dairy;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;;;0.79
1395;AH;AH Blauwe bessen 500 gram;500.0;GR;;tray;Fruits;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;;;39.99
