,,Content,Content,Content,Content,Content,Content,Content,Content,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Category,PeriodKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy,201810.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.03333333333333327,0.043471323003008655,2.13726019272743e-05,0.007490295502937392,0.01604574805442525,0.04339292727170713,0.19058697179618,30.0,0.03333333333333324,0.042196076657809216,2.81605102411765e-05,0.0072279088438952175,0.016079650990037102,0.036771708020297424,0.160724685632544,30.0,1.388666666666667,0.46146493372462355,0.53,1.0225,1.41,1.755,2.19
Dairy,201811.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.03333333333333327,0.04018569369044267,1.85203572165343e-05,0.007431936401093315,0.0167889610439719,0.0445053186864745,0.168190566244488,30.0,0.033333333333333236,0.03914404551905792,2.55615156544038e-05,0.00789404822576577,0.0199510328371881,0.035388409683634645,0.138646341855802,30.0,1.3910000000000002,0.4542166428266249,0.57,1.0225,1.39,1.755,2.19
Dairy,201812.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.03333333333333329,0.0399164397838867,2.26273910571932e-05,0.007837966637989911,0.016042589367804498,0.048007242612272225,0.175146166019477,30.0,0.03333333333333324,0.03756995044500336,2.96565933895759e-05,0.007632140588681882,0.014874029261266901,0.040367298178383,0.138119582856434,30.0,1.387,0.45378218989077673,0.57,1.0225,1.39,1.7425000000000002,2.19
Dairy,201901.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.03333333333333328,0.042669955453161906,1.57095528107475e-05,0.00788184733119945,0.016819601033464103,0.03961879086938345,0.175402206631114,30.0,0.0333333333333332,0.04166624234174264,2.13312047623646e-05,0.00643824713985189,0.018982133583456448,0.03211937216791408,0.142124006458114,30.0,1.4236666666666666,0.4659471875751536,0.59,1.045,1.43,1.7925,2.25
Dairy,201902.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.033333333333333263,0.039845428652586674,1.91165410052791e-05,0.008606923891673725,0.0218522972407065,0.0377977326587583,0.183693829479259,30.0,0.03333333333333323,0.03919205499693282,2.38139969123864e-05,0.00714333253033163,0.0200748967467266,0.037792878726723246,0.14239651950106,30.0,1.4376666666666664,0.4582852848377859,0.59,1.0675000000000001,1.47,1.7925,2.25
Dairy,201903.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.033333333333333263,0.04184690143833354,1.30968493948126e-05,0.008492629409291443,0.0174124870781516,0.037377617845676656,0.188148435174885,30.0,0.03333333333333324,0.038369611634127325,1.77184520794874e-05,0.008304171572373347,0.01995579409512095,0.0398814474933534,0.152094112964779,30.0,1.451,0.4748455284216847,0.59,1.0675000000000001,1.44,1.8399999999999999,2.29
Dairy,201904.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.033333333333333284,0.042949636889076284,2.06052093403413e-05,0.008517964594526682,0.0173284086883009,0.0459553404982225,0.211630953832311,30.0,0.03333333333333326,0.038974106753550994,2.73702445017956e-05,0.009211719183430013,0.0191403939564799,0.0392998091779158,0.154216414655063,30.0,1.4556666666666667,0.47653695687151887,0.59,1.0675000000000001,1.44,1.89,2.29
Dairy,201905.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.033333333333333263,0.04069870009471712,1.85608794032171e-05,0.008963779849971827,0.01618649296683275,0.0399701507312142,0.183470355744564,30.0,0.03333333333333326,0.0390446199828147,2.29347963443759e-05,0.011224235303383973,0.0196891764796877,0.030619508668253075,0.146006447729783,30.0,1.4486666666666668,0.470566301043924,0.59,1.0675000000000001,1.44,1.865,2.29
Dairy,201906.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.033333333333333284,0.045012621108937466,2.17440320904097e-05,0.008889173031916928,0.01713595172446715,0.038311330106077776,0.213446509444709,30.0,0.03333333333333325,0.04170036285126207,2.88823318084946e-05,0.007243892918240062,0.02097183856148095,0.03168474062630825,0.17107764007185,30.0,1.4480000000000002,0.46902246104586215,0.59,1.0975000000000001,1.47,1.78,2.29
Dairy,201907.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.0333333333333333,0.04565974223838808,1.22877747700035e-06,0.008533859577767478,0.0171457465253244,0.039725147053944525,0.228999271334956,30.0,0.03333333333333323,0.041181317218429235,1.17950473878011e-06,0.008442815957339802,0.02057837927300185,0.030850849328234748,0.181935947116852,30.0,1.4520000000000002,0.4735587936407503,0.59,1.0975000000000001,1.47,1.78,2.29
Dairy,201908.0,29.0,285.7155172413793,326.27600966476007,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,29.0,0.0344827586206896,0.046379698950147374,2.37011094907607e-05,0.00910331731881896,0.0200016451358352,0.0378945886184483,0.2359354827916,29.0,0.03448275862068962,0.041200396805059006,2.89679193541724e-05,0.00864816445042859,0.0238065201848657,0.0401634760598526,0.183389927234044,29.0,1.4520689655172414,0.47926565337238913,0.59,1.09,1.49,1.79,2.29
Dairy,201909.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.03333333333333328,0.041890666038743855,1.5056461731493e-06,0.00843086574654956,0.02055984943538265,0.04107026348808027,0.199033375156838,30.0,0.033333333333333263,0.038417146214676186,1.79651856033952e-06,0.00767730930171861,0.026072381327770552,0.034096397105313675,0.161861480461431,30.0,1.4560000000000002,0.4772666427437204,0.59,1.0975000000000001,1.47,1.8250000000000002,2.29
Dairy,201910.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.03333333333333322,0.04378422049778185,6.38758865973059e-07,0.006471585450606053,0.0201020608916051,0.0356278935776628,0.195546445434662,30.0,0.03333333333333328,0.041115073909026044,7.45768131462112e-07,0.005758088376177215,0.01846424116286515,0.03472388075153405,0.155679405796881,30.0,1.445,0.47638545679761873,0.59,1.0975000000000001,1.47,1.7349999999999999,2.29
Dairy,201911.0,29.0,302.9568965517241,350.3280482338095,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,29.0,0.03448275862068957,0.042978365384183044,6.02744415874359e-07,0.00734564619626081,0.0190937376060679,0.0386907667993909,0.174403493988829,29.0,0.03448275862068957,0.04005050651341531,7.21518255059872e-07,0.00613501975486942,0.025847674514359,0.0408077474610269,0.142304229339926,29.0,1.4534482758620693,0.4816361687153264,0.59,1.09,1.49,1.75,2.29
Dairy,201912.0,28.0,295.91964285714283,354.66312298231884,0.25,1.0,200.0,462.5,1000.0,0.0,,,,,,,,28.0,0.03571428571428563,0.044993954435539905,9.79672289822331e-07,0.004861011443062177,0.018885877485122403,0.040004305659713725,0.161808553420795,28.0,0.035714285714285636,0.042544537407449554,1.11522340009507e-06,0.005240188458549143,0.0178116994964257,0.046534676193944524,0.135671806473063,28.0,1.4735714285714288,0.475255987829984,0.59,1.1125,1.47,1.86,2.29
Dairy,,1.0,250.0,,250.0,250.0,250.0,250.0,250.0,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,1.0,0.79,,0.79,0.79,0.79,0.79,0.79
Fruits,201801.0,28.0,323.60714285714283,272.8939679158697,1.0,113.5,250.0,500.0,1000.0,0.0,,,,,,,,28.0,0.035714285714285615,0.049821682860863414,7.33943338106411e-07,7.302736214158793e-05,0.00458127431646022,0.04287862118468726,0.142497300923374,28.0,0.03571428571428566,0.06192995016826232,3.11574669415278e-07,6.279657374773991e-05,0.003818773241997385,0.0331257338341176,0.250461769528157,28.0,2.8864285714285707,1.535580995815263,1.12,2.0675,2.4400000000000004,2.99,8.49
Fruits,201802.0,26.0,329.0769230769231,234.71901040638753,1.0,200.0,290.0,500.0,1000.0,0.0,,,,,,,,26.0,0.038461538461538346,0.0528300386571932,6.52344231613514e-07,5.5775431802955446e-05,0.010192552446845355,0.0547391829910374,0.16278337017991,26.0,0.03846153846153837,0.058912157153650675,7.23430713168566e-07,5.7480683775770446e-05,0.0078797234569365,0.04783870984274635,0.210157466956806,26.0,3.048076923076923,1.5393817440278268,1.69,2.19,2.74,3.265,8.49
Fruits,201803.0,26.0,309.88461538461536,240.51346356045465,1.0,160.0,250.0,500.0,1000.0,0.0,,,,,,,,26.0,0.03846153846153835,0.05211687607783928,1.36464744333301e-06,5.24252059480433e-05,0.00514949712741713,0.06665358879533467,0.153414575344459,26.0,0.03846153846153837,0.05990206120159209,3.31812709188884e-07,5.881334011167692e-05,0.003877498673084955,0.04755562764532348,0.215972053143367,26.0,3.0749999999999997,1.529081423600457,1.69,2.215,2.74,3.265,8.39
Fruits,201804.0,26.0,309.88461538461536,240.51346356045468,1.0,160.0,250.0,500.0,1000.0,0.0,,,,,,,,26.0,0.03846153846153832,0.051332884209022225,6.34536689863212e-07,6.170869308919743e-05,0.004445564049181665,0.06259783762586825,0.155960234854719,26.0,0.03846153846153835,0.06278544038622942,1.37040631052805e-07,5.4063668027497076e-05,0.003507029529838225,0.041356004862646796,0.229606943125085,26.0,3.0288461538461537,1.5404007969955795,1.69,2.19,2.49,3.14,8.39
Fruits,201805.0,28.0,323.60714285714283,272.8939679158697,1.0,113.5,250.0,500.0,1000.0,0.0,,,,,,,,28.0,0.035714285714285615,0.05408145125532293,5.23687704074552e-07,3.482523232095767e-05,0.00233748006713676,0.06066241257688385,0.181784570589174,28.0,0.03571428571428566,0.06950276484813786,2.25139724994188e-07,3.684739742334687e-05,0.002220180625332035,0.0402189436182995,0.315451952317813,28.0,2.9807142857142854,1.521872454312702,1.12,2.19,2.49,3.04,8.39
Fruits,201806.0,29.0,329.6896551724138,269.97101080463597,1.0,150.0,250.0,500.0,1000.0,0.0,,,,,,,,29.0,0.03448275862068957,0.05645861760804698,5.1350993282263e-07,5.34050330135535e-05,0.00360997482774309,0.0479161253416124,0.209561863055117,29.0,0.034482758620689585,0.055643089601189535,5.79496233176499e-07,5.19279005596492e-05,0.00328700151405215,0.0412018102784418,0.164451039608353,29.0,2.967241379310344,1.4560462525809996,1.12,2.19,2.49,3.19,7.99
Fruits,201807.0,28.0,341.42857142857144,267.28167671764317,1.0,180.0,290.0,500.0,1000.0,0.0,,,,,,,,28.0,0.03571428571428566,0.04960757872439418,7.01066111235355e-07,5.2755224870460474e-05,0.009384120431940826,0.05014375360610875,0.176410667702375,28.0,0.035714285714285636,0.052964061454844544,8.05042709775534e-07,5.97744221958253e-05,0.007618274076923835,0.046778704592805996,0.18751567291688,28.0,2.930714285714285,1.2672306597354506,1.12,2.19,2.74,3.215,6.99
Fruits,201808.0,29.0,329.6896551724138,269.97101080463597,1.0,150.0,250.0,500.0,1000.0,0.0,,,,,,,,29.0,0.03448275862068954,0.05093263017565896,8.38029791959104e-07,6.78804131486874e-05,0.00838281200896691,0.0487029393894953,0.177079885189918,29.0,0.034482758620689564,0.05521498944678828,1.85863251329076e-07,6.88096694823927e-05,0.0101231160118773,0.03633423256646,0.206878233125735,29.0,2.8568965517241374,1.2781574446060902,1.12,2.09,2.49,2.99,6.99
Fruits,201809.0,29.0,329.6896551724138,269.97101080463597,1.0,150.0,250.0,500.0,1000.0,0.0,,,,,,,,29.0,0.034482758620689564,0.051152877368219996,6.37028694320507e-07,4.52290372967559e-05,0.00494780186878737,0.0583492802849811,0.160621052014666,29.0,0.03448275862068957,0.057790975012045484,1.4506730909826e-07,5.13272306786233e-05,0.00557511541747147,0.047494813015876,0.217730895595894,29.0,2.85655172413793,1.2817462303493539,1.12,2.19,2.49,2.99,6.99
Fruits,201810.0,27.0,354.01851851851853,263.7769483674199,1.0,210.0,330.0,500.0,1000.0,0.0,,,,,,,,27.0,0.037037037037036924,0.05289918934351738,1.45878388481442e-06,9.84679122249732e-06,0.0165630322281829,0.0467810110101713,0.187267004861397,27.0,0.03703703703703699,0.06459369461901553,3.28259205916164e-07,8.45677731549947e-06,0.00923712081341659,0.049696274082298056,0.279260419882097,27.0,2.9170370370370367,1.374537166340882,1.12,2.19,2.49,3.09,6.99
