;ItemDescr;Category;Biological;PrivateLabel;..;Sustainable;Halal;QuantityCE;SalesGoodsEUR;PriceAdjusted
784;AH Sinas light 6pack 6x1.5 liter;Soda;FALSE;TRUE;;FALSE;FALSE;0.0013996827298972687;0.003817283759552891;0.41662037037037036
69;AH Slagroom 250 gram;Dairy;FALSE;TRUE;;FALSE;FALSE;0.07741997803729443;0.06198272753333383;38.448
712;AH Smoothie appel banaan aardbei 500 milliliter;Fruits;FALSE;TRUE;;FALSE;FALSE;0.05675156624885199;0.042445551285137766;4.844.166.666.666.660
2124;AH Smoothie mango passion 250 milliliter;Dairy;FALSE;TRUE;;FALSE;FALSE;0.0382794585087792;0.03092931077349372;4.121.666.666.666.660
968;AH Surimi flakes 200 gram;Meat;FALSE;TRUE;;TRUE;FALSE;0.014973229361523522;0.00949348459977412;9.95
992;AH Vers gekookt nl mosselvlees 0.15 kilogram;Meat;FALSE;TRUE;;TRUE;FALSE;0.015044488202087892;0.007951333510271977;11.0
237;AH Verse sap aardbei sinaasappel 500 milliliter;Fruits;FALSE;TRUE;;FALSE;FALSE;0.05287662909097073;0.03613566531562364;4.44
165;AH Verse sap sinaasappel 500 milliliter;Fruits;FALSE;TRUE;;FALSE;FALSE;0.11140895388670098;0.0728837062366362;4.046.666.666.666.660
2436;AH Very Berry 500ml 500 milliliter;Fruits;FALSE;TRUE;;FALSE;FALSE;2,67E+11;2,96E+11;6.056.190.476.190.470
330;AH Volle yoghurt 500 milliliter;Dairy;FALSE;TRUE;;FALSE;FALSE;0.04274498763012155;0.025624922958132818;14.666.666.666.666.600
2340;AH Wheat grass booster 250ml 250 milliliter;Fruits;FALSE;TRUE;;FALSE;FALSE;2,92E+11;2,49E+11;9.28
1635;AH Zalm staartstuk 1 kilogram;Meat;FALSE;TRUE;;TRUE;FALSE;0.029462887376687123;0.04564515154945147;23.837.500.000.000.000
474;AH Zalmfilet. 1 kilogram;Meat;FALSE;TRUE;;TRUE;FALSE;0.18930359172339736;0.24489687937693352;27.780.416.666.666.600
1683;AH Zelfgeperst sinaasappelsap 1000 milliliter;Fruits;FALSE;TRUE;;FALSE;FALSE;0.1387336519738217;0.1644246542833468;32.391.666.666.666.600
640;AH kippenbout ca 1500gr 1 kilogram;Meat;FALSE;TRUE;;FALSE;FALSE;0.026700796523246723;0.03708219211550291;31.679.166.666.666.600
2044;AH sap avocado komkommer 250 milliliter;Fruits;FALSE;TRUE;;FALSE;FALSE;0.025296849993207113;0.015247375308024962;7.073.333.333.333.330
2100;Ah basic orange 4fl 4x2 liter;Soda;FALSE;TRUE;;FALSE;FALSE;0.0009561650012579947;0.0025559535720141914;0.4605208333333333
1515;Ah blini's 135 gram;Meat;FALSE;TRUE;;FALSE;FALSE;0.008430565736248256;0.004064162417319034;11.734.567.901.234.500
1938;Ah ontbijt smoothie haver yoghurt aardbe 250 milliliter;Fruits;FALSE;TRUE;;FALSE;FALSE;0.007623884609075031;0.004536662891657441;7.073.333.333.333.330
1611;Ah pangasiusreepje pep&zt 250 gram;Meat;FALSE;TRUE;;FALSE;FALSE;0.02203718392541298;0.019573474292705794;13.313.333.333.333.300
1156;Ah smoot mango ban 500 milliliter;Fruits;FALSE;TRUE;;FALSE;FALSE;0.05445922717581505;0.040449148738378515;4.844.166.666.666.660
1587;Ah toastzalm 130 gram;Meat;FALSE;TRUE;;TRUE;FALSE;0.025782110799289253;0.03895587929130987;3.878.846.153.846.150
594;Almhof Milde roomyoghurt spaanse sinaasappel 500 gram;Dairy;FALSE;FALSE;;FALSE;FALSE;0.045556798710759176;0.04720737807223599;28.454.545.454.545.400
1707;Almhof Roomyoghurt walnoot-griekse honing 150 gram;Dairy;FALSE;FALSE;;FALSE;FALSE;0.01247671655498065;0.006763455912074598;4.875
872;Alpro soya dr macchiato 1 liter;Dairy;FALSE;FALSE;;FALSE;FALSE;0.0045487890667860265;0.00718723039450932;19.654.166.666.666.600
498;Alpro soya drink banana 1 liter;Dairy;FALSE;FALSE;;TRUE;FALSE;0.00841733565619357;0.01168230203383975;17.141.666.666.666.600
2620;Appelsientje AS multivitamientje exotisch fruit 1 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.00985714895556371;0.00785618769105585;14.016.666.666.666.600
1299;Appelsientje Sinaasappel 1 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.0889832847113798;0.0744046170234088;15.925
93;Baltussen Rolmops 450 gram;Meat;FALSE;FALSE;;FALSE;FALSE;2,73E+11;2,46E+10;6.381.481.481.481.480
117;Baltussen Rolmops in saus 450 gram;Meat;FALSE;FALSE;;FALSE;FALSE;0.0007609207350132301;0.0007586202647038086;6.944.444.444.444.440
2596;BioToday Flatbread sticks garlic - bio 130 gram;Meat;TRUE;FALSE;;TRUE;FALSE;0.00020525849240432268;0.0001174148860627867;15.5
1866;Campina Biologische karnemelk 500ml 500 milliliter;Dairy;TRUE;FALSE;;FALSE;FALSE;0.01057296099657222;0.007158057849157469;17.291.666.666.666.600
616;Campina Camp chocolade vla 1 liter;Dairy;FALSE;FALSE;;TRUE;FALSE;0.01829214810965988;0.019956631661475224;15.179.166.666.666.600
450;Campina Dubbelvla aardbei/vanille 1 liter;Dairy;FALSE;FALSE;;FALSE;FALSE;0.007458678226728195;0.007572406800560177;13.883.333.333.333.300
1491;Capri-Sun Orange drink pouch 10x0.2 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.01969156730753467;0.03978000630489007;16.475
896;Coca cola zero 12bl 12x0.15 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.017201085628113205;0.06583850297741826;31.814.814.814.814.800
736;Coca-Cola Original 1 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.22463727957917853;0.231537526046975;16.925
2010;Coca-Cola Original fles 0.375 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.05418735948722846;0.041137885262993515;27.587.719.298.245.600
2034;Coca-cola fl uit 4pk 1,25LT;Soda;FALSE;FALSE;;FALSE;FALSE;1,22E+10;1,44E+10;13.519.999.999.999.900
1659;Coca-cola vanilla bl 0.33 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.05110866993290606;0.02290521545317162;19.595.959.595.959.500
189;CoolBest CB  Mango Dream 1L PK DS12 v1 1 liter;Dairy;FALSE;FALSE;;FALSE;FALSE;0.08150755617522105;0.1015122177583198;19.562.499.999.999.900
402;Danone Danio stracciatella romige kwark 450 gram;Dairy;FALSE;FALSE;;FALSE;FALSE;0.08365462414263596;0.10294499781943432;40.962.962.962.962.900
2196;De Zaanse Hoeve Yoghurt aardbei 1000 gram;Dairy;FALSE;TRUE;;FALSE;FALSE;0.01604336146411076;0.019167457702693364;14.383.333.333.333.300
