,,Content,Content,Content,Content,Content,Content,Content,Content,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Category,PeriodKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frisdranken en Houdbaar Sap,201810.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.008757181067071476,0.010942543689527316,0.00117703589364153,0.00153252794822402,0.00572274171120948,0.00765243422759145,0.0277011655546909,5.0,0.00906448159081279,0.01062489909841223,0.00301021679706738,0.00359352460986632,0.00390963553963332,0.00693351598659594,0.027875515020901,5.0,2.2279999999999998,1.2903371652401554,0.75,1.46,1.77,3.48,3.68
Frisdranken en Houdbaar Sap,201811.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.0067460653226266735,0.008934533852043727,0.000912857533000797,0.00122792064537032,0.00407793478193573,0.00511186460265932,0.0223997490501672,5.0,0.007771954612583926,0.009583195951464589,0.00256078093058202,0.00292223989600836,0.00316781067814751,0.00541053487649353,0.0247984066816882,5.0,2.2279999999999998,1.2903371652401554,0.75,1.46,1.77,3.48,3.68
Frisdranken en Houdbaar Sap,201812.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.007683823942052019,0.009770107796848901,0.00116077879100606,0.00151462433594887,0.00466615352170833,0.00635445163096804,0.0247231114306288,5.0,0.008500508542143546,0.010029232555282933,0.00307593172884738,0.00343176599856759,0.00379333003886381,0.00586506646097354,0.0263364484834654,5.0,2.234,1.2859354571672716,0.75,1.49,1.77,3.48,3.68
Frisdranken en Houdbaar Sap,201901.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.006733669180082452,0.008377923706502222,0.000888024709989026,0.00137640038311706,0.00439462271083382,0.00573538076998036,0.021273917326492,5.0,0.007840747904183213,0.009136423400484666,0.00247735697784432,0.00325484797158488,0.00358253054082485,0.00586041070870462,0.0240285933219574,5.0,2.2960000000000003,1.3222064891687682,0.77,1.53,1.82,3.58,3.78
Frisdranken en Houdbaar Sap,201902.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.007420704200981907,0.00888884254972838,0.000977487447240689,0.00157447642508567,0.00516707080961709,0.00664478253774438,0.0227397037852217,5.0,0.008239925220727607,0.00926920490699462,0.00254614501507001,0.00362123804849106,0.00391092671530686,0.0065054181175265,0.0246158982072436,5.0,2.262,1.2772509541981167,0.77,1.53,1.82,3.51,3.68
Frisdranken en Houdbaar Sap,201903.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.006998463670195613,0.008216762989871805,0.00101305671024485,0.00140296991867439,0.00480215193817364,0.00670387586885759,0.0210702639150276,5.0,0.007694993925501698,0.008466020238878559,0.00263014130483157,0.00347293660057529,0.00361034611525972,0.00610031784992491,0.022661227756917,5.0,2.262,1.2772509541981167,0.77,1.53,1.82,3.51,3.68
Frisdranken en Houdbaar Sap,201904.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.006554746505020399,0.0076962302944416135,0.00100351981764182,0.00126096076712404,0.00405407009767134,0.0067940666109711,0.0196611152316937,5.0,0.007205384760501263,0.00787671309123996,0.00262718996420704,0.00314894949994199,0.00381645713609773,0.00524884816528586,0.0211854790369737,5.0,2.266,1.2714283306580831,0.79,1.53,1.82,3.51,3.68
Frisdranken en Houdbaar Sap,201905.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.006949288913859253,0.00787440260994931,0.00104153568731543,0.00139259063286557,0.00456807522315247,0.00751897186690729,0.0202252711590555,5.0,0.00738492482751069,0.007757919688882502,0.0026401932521237,0.00335227407561028,0.00409377371528606,0.00572795964159911,0.0211104234529343,5.0,2.266,1.2714283306580831,0.79,1.53,1.82,3.51,3.68
Frisdranken en Houdbaar Sap,201906.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.0043133571683646055,0.004980429772588972,0.000739786015680873,0.000880944310139018,0.00217532701941347,0.00512443459789797,0.0126462938986917,5.0,0.0052042272808754,0.005572058543490465,0.00215255432934615,0.00239750603354923,0.00313092714752553,0.00320155315806839,0.0151385957358877,5.0,2.2600000000000002,1.2641400238897589,0.79,1.53,1.82,3.48,3.68
Frisdranken en Houdbaar Sap,201907.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.006445701353641217,0.007530038251563782,0.00102786795728712,0.00118340060871873,0.00391592896666022,0.00688175630174912,0.0192195529337909,5.0,0.006435766086919072,0.006705278743455012,0.00254431110304075,0.00269716523341936,0.00365691799005564,0.00497584049215141,0.0183045956159282,5.0,2.2560000000000002,1.2373277657920718,0.79,1.53,1.89,3.39,3.68
Frisdranken en Houdbaar Sap,201908.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.006838715561928975,0.00818526043117833,0.00106981611070854,0.00129530725068027,0.00401133536359812,0.00697945750378774,0.0208376615808702,5.0,0.007012618587611712,0.007560040808453987,0.00269001847634186,0.0030007993665191,0.00376644403506044,0.00517911804036576,0.0204267130197714,5.0,2.2600000000000002,1.2344229421069588,0.79,1.55,1.89,3.39,3.68
Frisdranken en Houdbaar Sap,201909.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.005880138430015383,0.006681804354059999,0.000937735904549955,0.001298516681209,0.00381515867491495,0.00611807727375221,0.0172312036156508,5.0,0.006310279790980188,0.006597055119522744,0.00235294413194551,0.00300162951425963,0.00329584405091514,0.00491036390684376,0.0179906173509369,5.0,2.2600000000000002,1.2344229421069588,0.79,1.55,1.89,3.39,3.68
Frisdranken en Houdbaar Sap,201910.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.006249064336561388,0.007695958433628977,0.000852226295267225,0.0012697553746568,0.00394249086311776,0.00561741425889275,0.0195634348908724,5.0,0.0065390864342786455,0.007678771638005037,0.0020910127382957,0.00287009513245694,0.00296050013141516,0.00459567119832473,0.0201781529709007,5.0,2.2600000000000002,1.2344229421069588,0.79,1.55,1.89,3.39,3.68
Frisdranken en Houdbaar Sap,201911.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.005942231037653218,0.007252659523116393,0.000821217420722507,0.00134300423704536,0.00357406917324413,0.00549206201964919,0.0184808023376049,5.0,0.006707108989790049,0.007728990473216138,0.00212277735763568,0.00304620826394217,0.00319450798743279,0.0047416265267777,0.0204304248131619,5.0,2.2680000000000002,1.2287880207749424,0.79,1.59,1.89,3.39,3.68
Frisdranken en Houdbaar Sap,201912.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.006546671103918109,0.008029405520409642,0.000999416705009556,0.00143210047786713,0.00373060363009263,0.00613727772553253,0.0204339569810887,5.0,0.007239595587189717,0.00837448288166458,0.00252975785000029,0.00333589504870466,0.00333992351900471,0.00484724862773002,0.0221451528905089,5.0,2.2680000000000002,1.2287880207749424,0.79,1.59,1.89,3.39,3.68
Fruit en Verse Sappen,201801.0,27.0,298.55555555555554,243.07866459129474,1.0,77.0,250.0,500.0,1000.0,0.0,,,,,,,,27.0,0.037036738023084374,0.0502674573123792,7.33943338106411e-07,8.697228556560975e-05,0.00473246664411014,0.046762832815780905,0.142497300923374,27.0,0.037036509187270396,0.06270563396903217,3.11574669415278e-07,7.04587136980742e-05,0.00467802866737511,0.0342470480579758,0.250461769528157,27.0,2.9518518518518513,1.5245479457027382,1.69,2.1399999999999997,2.49,2.99,8.49
